Location,AVG_SC_Rating,PTS,FGP,C3PCT,FTP,AST,TOV
Atlanta,3.55,3,2,0,2,1,3
Boston,3.82,3,4,7,3,3,5
Brookyln,3.62,4,4,3,2,2,3
Charlotte,3.31,3,6,4,3,1,3
Chicago,3.95,4,6,3,5,2,4
Cleveland,3.29,3,3,3,3,1,3
DC,3.69,2,1,3,2,1,5
Dallas,3.74,6,5,4,4,4,3
Denver,3.62,5,4,5,5,4,4
Detroit,3.71,2,3,2,4,0,4
Indianapolis,3.48,5,4,3,3,3,6
LosAngeles,3.94,5,3,2,6,2,2
Memphis,3.65,6,4,5,3,5,3
Miami,4.03,3,5,3,2,4,5
Milwaukee,3.42,5,3,3,3,2,4
Minneapolis,3.35,1,4,3,3,3,3
NewOrleans,3.91,4,2,4,3,2,4
NewYork,3.87,2,2,5,2,3,3
OklahomaCity,3.76,5,6,5,5,3,2
Orlando,3.75,3,3,5,3,1,1
Philadelphia,3.55,1,2,3,0,2,4
Phoenix,3.74,3,2,2,4,3,4
Portland,3.75,1,2,4,5,2,5
Sacramento,3.64,1,2,4,4,1,4
SaltLakeCity,3.95,5,4,6,4,5,4
SanAntonio,3.47,4,2,2,3,3,4
SanFrancisco,3.5,3,4,3,3,3,2
Toronto,2.97,0,4,3,4,5,1
